Consumption per country in MWh;;;;;;;;;
Data was last updated 08-02-2017;;;;;;;;;
;NO;SE;FI;DK;Nordic;EE;LV;LT;Baltic
01.01.2015;384768;376407;225827;86554;1073572;20635;17523;22845;61003
02.01.2015;399788;399194;241504;96446;1136935;22421;19196;25494;67111
03.01.2015;408319;410298;237890;91213;1147728;22417;18858;24528;65803
04.01.2015;419646;422985;244148;89668;1176460;23106;19485;24773;67364
05.01.2015;455799;465652;285065;104662;1311176;27011;22978;29617;79606
06.01.2015;440289;445645;289062;106717;1281722;28213;24263;31342;83818
07.01.2015;432585;471200;281907;106226;1291928;29009;24395;31319;84723
08.01.2015;424852;450537;265801;108854;1250056;28409;24230;30985;83624
09.01.2015;444703;457669;265908;107096;1275378;26543;23571;29635;79749
10.01.2015;430242;432201;256958;96235;1215647;23867;21533;26770;72170
11.01.2015;424704;450117;266791;94813;1236433;23737;20205;24985;68927
12.01.2015;457952;493823;294258;109097;1355341;27416;22861;29143;79420
13.01.2015;443683;462632;284256;104271;1294843;26737;22191;28955;77883
14.01.2015;445351;469095;269793;109060;1293303;26313;22277;29097;77687
15.01.2015;443725;468939;263251;110764;1286689;26126;22332;29450;77908
16.01.2015;430045;444371;265850;105687;1245959;26400;22241;29127;77768
17.01.2015;413755;401854;244282;91692;1151598;23147;19884;26290;69321
18.01.2015;418722;419722;239260;91290;1169001;22668;19126;25761;67555
19.01.2015;468659;478718;270558;107178;1325123;25803;22581;30792;79176
20.01.2015;471586;485695;285678;109570;1352535;26491;23058;30791;80340
21.01.2015;469048;485183;293913;109581;1357734;27070;23537;30903;81510
22.01.2015;482854;483854;300367;107947;1375033;27761;23419;30821;82001
23.01.2015;490249;490124;298229;106146;1384750;27225;23220;30707;81152
24.01.2015;440044;451071;269369;96378;1256859;24333;20824;27476;72633
25.01.2015;433412;429149;250863;91244;1204680;23706;20412;26525;70643
26.01.2015;442783;472795;265816;106935;1288331;26753;22828;30331;79912
27.01.2015;442273;473528;260816;106604;1283232;27032;23009;30457;80498
28.01.2015;427775;464790;262832;108672;1264075;26944;22831;30592;80367
29.01.2015;436598;468762;264989;109939;1280297;26973;22524;29947;79444
30.01.2015;440856;467452;267572;106325;1282212;26144;22371;29315;77830
31.01.2015;424333;439884;252208;93667;1210102;23495;20319;26641;70455
01.02.2015;432747;435131;244452;92578;1204925;23026;19573;25087;67686
02.02.2015;473892;497375;268365;107995;1347640;25927;22173;28983;77083
03.02.2015;482624;505155;271208;109037;1368038;26129;22593;29981;78703
04.02.2015;490941;506785;271087;110103;1378917;27000;23280;29857;80137
05.02.2015;493108;499654;271479;108743;1372994;27614;23343;30325;81282
06.02.2015;464895;473635;268450;105077;1312064;27008;23509;29411;79928
07.02.2015;430297;421634;247095;93247;1192281;23898;20304;26263;62106
08.02.2015;428318;429373;250161;91938;1199793;23349;19582;25165;68096
09.02.2015;432367;444395;273689;101863;1252320;26644;22664;29881;79189
10.02.2015;421642;437893;251322;101929;1212796;25658;22102;29839;77599
11.02.2015;428323;446016;250244;103510;1228102;25639;22712;30245;78596
12.02.2015;440455;448849;257686;104364;1251353;26317;22525;29899;78741
13.02.2015;441799;452771;265408;102452;1262438;25768;22499;29396;77663
14.02.2015;413030;420640;249934;91664;1175283;23360;19934;25930;69224
15.02.2015;410497;417480;258115;92214;1178315;22822;19133;24368;66323
16.02.2015;443839;479463;278025;106862;1308200;26343;22275;24238;72856
17.02.2015;438597;478767;272104;106472;1295954;26561;22401;28337;77299
18.02.2015;412810;451129;256419;105041;1225413;26511;22427;29574;78512
19.02.2015;403144;439971;255624;106315;1205062;25936;22383;29676;77995
20.02.2015;404568;438801;253728;104623;1201728;25432;21525;28540;75497
21.02.2015;397325;407977;239893;91370;1136571;23173;19114;25207;67494
22.02.2015;400596;408125;235966;87790;1132485;22291;18633;24556;65480
23.02.2015;434817;466647;250897;105593;1257961;23253;21397;28883;73533
24.02.2015;426446;447447;252261;105425;1231590;22153;22046;29522;73721
25.02.2015;417413;434069;246798;102716;1201012;24838;21838;29103;75779
26.02.2015;430847;437007;246843;103434;1218133;25538;22016;29393;76947
27.02.2015;418460;443589;253025;99869;1214942;25192;22057;28940;76189
28.02.2015;397833;398399;237802;87899;1121932;22431;19611;25799;67841
01.03.2015;388794;409303;230990;91170;1120270;21887;18741;23900;64528
02.03.2015;409179;443497;249868;102932;1205486;24635;21447;28163;74245
03.03.2015;418659;444265;251246;102678;1216858;24991;21794;27886;74671
04.03.2015;425884;450943;250382;104323;1231539;25088;21615;28706;75409
05.03.2015;428592;442794;250846;101337;1223582;24721;21948;28596;75265
06.03.2015;401929;423172;253521;99033;1177649;24863;21880;28239;74982
07.03.2015;373107;386834;237559;87596;1085104;22399;19132;24728;66259
08.03.2015;360109;364480;224120;83901;1032620;20864;17836;22376;61076
09.03.2015;402389;410164;239836;95429;1147833;23785;20948;27093;71826
10.03.2015;399477;417184;246385;98455;1161507;24533;21165;27034;72732
11.03.2015;394983;419165;241359;96667;1152099;24310;20975;23207;68492
12.03.2015;399539;423806;244406;96507;1164265;24168;20766;26295;71229
13.03.2015;393382;417595;248574;96014;1155573;24070;20645;26041;70756
14.03.2015;377371;388206;234031;84470;1084086;21399;18422;23233;63054
15.03.2015;371237;378864;226077;84189;1060366;20498;17702;22569;60769
16.03.2015;396228;409751;245662;98863;1150518;23152;20335;25557;69044
17.03.2015;389903;408820;243438;98101;1140255;22542;20377;25490;68409
18.03.2015;391314;406582;239708;94852;1132469;22722;20426;25716;68864
19.03.2015;402547;409870;238625;95070;1146116;22698;20577;26357;69632
20.03.2015;402281;419393;242929;94957;1159568;23300;20972;26386;70658
21.03.2015;386746;401113;235887;86185;1109947;21624;19111;24216;64951
22.03.2015;395606;412775;236337;85834;1130566;21575;18434;23275;63284
23.03.2015;400062;431958;248680;98249;1178957;24585;21031;26961;72577
24.03.2015;394768;417125;238591;98243;1148742;24012;21310;27086;72408
25.03.2015;408764;428326;248046;99764;1184905;24321;20903;27603;72827
26.03.2015;432328;445423;251575;99919;1229247;24477;20652;26969;72098
27.03.2015;414248;424178;251373;96806;1186615;24384;20989;26901;72274
28.03.2015;383272;366967;230434;86365;1067034;21492;18757;24814;65063
29.03.2015;351761;359363;213726;80937;1005788;20180;17369;22282;59831
30.03.2015;385719;416439;247737;98447;1148347;24367;20936;26935;72238
31.03.2015;393033;426795;245474;102515;1167825;24145;20849;27365;72359
